FIPS,County,Lat,Long
17001,Adams,+39.986053,-91.194961
17003,Alexander,+37.183683,-89.349506
17005,Bond,+38.885924,-89.436592
17007,Boone,+42.318983,-88.824295
17009,Brown,+39.962069,-90.750310
17011,Bureau,+41.401304,-89.528377
17013,Calhoun,+39.164262,-90.666295
17015,Carroll,+42.059084,-89.926485
17017,Cass,+39.969202,-90.245705
17019,Champaign,+40.139150,-88.197201
17021,Christian,+39.545524,-89.279593
17023,Clark,+39.332364,-87.791687
17025,Clay,+38.747312,-88.483789
17027,Clinton,+38.606423,-89.423136
17029,Coles,+39.513680,-88.220782
17031,Cook,+41.894294,-87.645455
17033,Crawford,+39.003730,-87.757172
17035,Cumberland,+39.273121,-88.240619
17039,De Witt,+40.181499,-88.901853
17037,DeKalb,+41.894613,-88.768991
17041,Douglas,+39.766078,-88.222866
17043,DuPage,+41.852058,-88.086038
17045,Edgar,+39.679037,-87.747110
17047,Edwards,+38.417095,-88.047941
17049,Effingham,+39.047694,-88.592786
17051,Fayette,+39.001125,-89.017923
17053,Ford,+40.594423,-88.224746
17055,Franklin,+37.991848,-88.926246
17057,Fulton,+40.465688,-90.206793
17059,Gallatin,+37.768677,-88.227964
17061,Greene,+39.355444,-90.387757
17063,Grundy,+41.292410,-88.401055
17065,Hamilton,+38.085226,-88.539005
17067,Hancock,+40.405792,-91.167988
17069,Hardin,+37.517852,-88.266148
17071,Henderson,+40.815141,-90.938480
17073,Henry,+41.350021,-90.130838
17075,Iroquois,+40.748867,-87.833601
17077,Jackson,+37.786096,-89.381212
17079,Jasper,+39.004874,-88.150763
17081,Jefferson,+38.300780,-88.924210
17083,Jersey,+39.080192,-90.361365
17085,Jo Daviess,+42.362391,-90.211471
17087,Johnson,+37.460815,-88.882962
17089,Kane,+41.939594,-88.428040
17091,Kankakee,+41.139494,-87.861125
17093,Kendall,+41.588140,-88.430626
17095,Knox,+40.930941,-90.213761
17099,LaSalle,+41.343341,-88.885931
17097,Lake,+42.326444,-87.636118
17101,Lawrence,+38.718954,-87.740221
17103,Lee,+41.747442,-89.299351
17105,Livingston,+40.894376,-88.552852
17107,Logan,+40.129070,-89.365308
17115,Macon,+39.860237,-88.961529
17117,Macoupin,+39.265900,-89.926344
17119,Madison,+38.827082,-89.900195
17121,Marion,+38.648396,-88.920221
17123,Marshall,+41.031119,-89.342371
17125,Mason,+40.236993,-89.913575
17127,Massac,+37.216119,-88.705658
17109,McDonough,+40.455789,-90.677579
17111,McHenry,+42.324298,-88.452245
17113,McLean,+40.494559,-88.844539
17129,Menard,+40.022569,-89.794133
17131,Mercer,+41.204791,-90.741433
17133,Monroe,+38.277983,-90.179078
17135,Montgomery,+39.228092,-89.478007
17137,Morgan,+39.716806,-90.202277
17139,Moultrie,+39.636896,-88.625726
17141,Ogle,+42.041884,-89.320176
17143,Peoria,+40.785999,-89.767358
17145,Perry,+38.084385,-89.368487
17147,Piatt,+40.009056,-88.592328
17149,Pike,+39.625106,-90.889034
17151,Pope,+37.417169,-88.542374
17153,Pulaski,+37.215615,-89.127755
17155,Putnam,+41.198940,-89.298386
17157,Randolph,+38.056515,-89.821210
17159,Richland,+38.711550,-88.085698
17161,Rock Island,+41.468404,-90.572203
17165,Saline,+37.751653,-88.545031
17167,Sangamon,+39.756378,-89.662311
17169,Schuyler,+40.156905,-90.613464
17171,Scott,+39.636980,-90.477759
17173,Shelby,+39.384926,-88.798862
17163,St. Clair,+38.470198,-89.928546
17175,Stark,+41.096908,-89.797411
17177,Stephenson,+42.349726,-89.665994
17179,Tazewell,+40.508074,-89.516260
17181,Union,+37.475104,-89.252875
17183,Vermilion,+40.186740,-87.726772
17185,Wabash,+38.445821,-87.839167
17187,Warren,+40.850441,-90.620223
17189,Washington,+38.353141,-89.417187
17191,Wayne,+38.431948	,-88.432129
17193,White,+38.087372,-88.178585
17195,Whiteside,+41.750571,-89.910957
17197,Will,+41.448474,-87.978456
17199,Williamson,+37.730353,-88.930018
17201,Winnebago,+42.337396,-89.161205
17203,Woodford,+40.789596,-89.210301